1,薄力粉,715円,250,pieces,税込10% 786円,f,カルピス
2,ベーキングパウダー,698円,50,pieces,税込10% 767円,t,森永
3,砂糖,173円,1,kg,税込8% 186円,t,キッコーマン
4,塩,448円,200,g,税込8% 483円,t,明治
5,無塩バター,510円,200,pieces,税込10% 561円,t,森永
7,牛乳,245円,200,pieces,税込10% 269円,t,カルピス
8,薄力粉,305円,10,g,税込10% 335円,f,ネスレ
6,白粉,305円,10,l,税込8% 329円,t,雪印
9,上新粉,750円,500,g,税込8% 810円,f,キッコーマン
10,ぬるま湯,661円,1,kg,税込8% 713円,t,森永
11,サラダ油,184円,1,kg,税込8% 198円,f,明治
12,みりん,972円,10,pieces,税込10% 1069円,t,ネスレ
13,砂糖,528円,10,l,税込8% 570円,t,カルピス
14,しょうゆ,296円,500,g,税込10% 325円,t,明治
15,栗粉,588円,500,ml,税込10% 646円,f,雪印
16,水,633円,50,ml,税込10% 696円,f,ネスレ
17,卵,330円,500,pieces,税込10% 363円,f,ネスレ
18,砂糖,881円,10,pieces,税込8% 951円,f,森永
19,薄力粉,832円,50,ml,税込10% 915円,f,森永
20,牛乳,770円,200,ml,税込10% 847円,f,森永
21,サラダ油,916円,500,ml,税込8% 989円,f,雪印
22,桜の花の塩漬け,873円,100,g,税込8% 942円,f,雪印
23,生クリーム,839円,50,pieces,税込10% 922円,t,雪印
25,さくらパウダー,496円,100,g,税込8% 535円,f,明治
26,食用色素(赤)少々,81円,100,pieces,税込8% 87円,t,ネスレ
27,じゃがいも,567円,100,g,税込10% 623円,t,雪印
28,ツナ,799円,1,kg,税込10% 878円,t,森永
29,マヨネーズ,574円,250,pieces,税込8% 619円,t,森永
30,塩こしょう少々,137円,200,g,税込8% 147円,t,キッコーマン
31,トッピングお好みで,636円,1,kg,税込8% 686円,t,森永
32,レタス,680円,10,pieces,税込10% 748円,f,ネスレ
33,きゅうり,779円,1,kg,税込8% 841円,f,雪印
34,トマト,142円,500,g,税込8% 153円,t,森永
35,韓国のり,634円,500,g,税込8% 684円,t,雪印
36,ごま油,694円,50,ml,税込10% 763円,f,明治
38,酢,243円,1,kg,税込10% 267円,t,森永
39,おろしにんにく,710円,500,l,税込10% 781円,t,ネスレ
40,白いりごま,201円,100,g,税込8% 217円,t,森永
41,手羽先,743円,500,l,税込8% 802円,t,カルピス
42,サラダ油,802円,200,g,税込8% 866円,t,ネスレ
43,酒,172円,200,g,税込8% 185円,t,ネスレ
44,しょうゆ,424円,10,pieces,税込10% 466円,f,森永
45,おろしにんにく少々,150円,200,g,税込10% 165円,t,森永
46,栗粉,687円,200,pieces,税込10% 755円,f,キッコーマン
47,薄力粉,982円,500,pieces,税込10% 1080円,f,キッコーマン
48,スパゲッティ,353円,50,l,税込10% 388円,t,カルピス
49,ベーコン,158円,200,l,税込10% 173円,t,雪印
50,菜の花,127円,200,pieces,税込8% 137円,t,ネスレ
51,ねぎ,736円,200,l,税込10% 809円,f,明治
52,にんにく,371円,100,pieces,税込10% 408円,t,カルピス
53,オリーブオイル,431円,100,pieces,税込10% 474円,t,カルピス
54,粉チーズ,457円,10,ml,税込10% 502円,t,ネスレ
55,塩こしょう少々,537円,250,g,税込8% 579円,t,カルピス
56,水,633円,200,l,税込8% 683円,t,雪印
57,牛乳,921円,50,l,税込10% 1013円,f,雪印
58,コンソメ,717円,1,kg,税込10% 788円,f,雪印
59,有塩バター,930円,100,ml,税込8% 1004円,f,カルピス
60,鶏もも肉,301円,50,g,税込10% 331円,t,ネスレ
61,アボカド,720円,200,ml,税込8% 777円,f,森永
62,塩こしょう少々,723円,500,ml,税込8% 780円,f,明治
63,サラダ油,279円,1,kg,税込8% 301円,f,キッコーマン
64,酒,250円,1,kg,税込8% 270円,f,明治
66,しょうゆ,493円,50,ml,税込8% 532円,f,キッコーマン
67,わさび,679円,500,g,税込10% 746円,t,森永
68,ごはん,268円,500,l,税込10% 294円,t,雪印
69,卵,312円,500,ml,税込8% 336円,f,明治
70,ハム,942円,100,l,税込8% 1017円,f,カルピス
71,きゅうり,630円,200,l,税込10% 693円,t,キッコーマン
72,海苔,295円,500,pieces,税込8% 318円,f,明治
76,塩,816円,1,kg,税込10% 897円,t,カルピス
77,さわら,185円,50,l,税込10% 203円,f,雪印
81,山椒,982円,500,l,税込8% 1060円,f,森永
84,しょうゆと,242円,50,ml,税込10% 266円,t,キッコーマン
85,ごはん,567円,50,ml,税込10% 623円,t,明治
86,豚,612円,500,g,税込8% 660円,f,雪印
87,レタス,548円,50,ml,税込8% 591円,t,キッコーマン
88,大葉,299円,100,g,税込8% 322円,t,森永
91,梅干し,593円,1,kg,税込8% 640円,f,ネスレ
92,ポン酢しょうゆ,761円,50,ml,税込8% 821円,t,キッコーマン
93,ごま油,794円,100,g,税込8% 857円,t,キッコーマン
94,鯛[刺身],397円,200,pieces,税込8% 428円,f,雪印
95,クレソン,684円,100,g,税込8% 738円,f,明治
96,塩少々,799円,10,g,税込8% 862円,f,雪印
97,桜の花の塩漬け,827円,250,pieces,税込8% 893円,f,キッコーマン
98,オリーブオイルと,711円,500,pieces,税込10% 782円,f,ネスレ
99,砂糖,973円,500,l,税込8% 1050円,f,明治
100,塩,472円,200,g,税込10% 519円,f,森永
101,酢,309円,100,g,税込10% 339円,t,明治
102,ごはん,693円,50,pieces,税込10% 762円,t,ネスレ
103,マグロ,646円,250,g,税込8% 697円,f,ネスレ
104,サーモン,704円,10,g,税込10% 774円,f,キッコーマン
105,ホタテ,732円,200,l,税込10% 805円,f,ネスレ
106,いくら,355円,200,ml,税込8% 383円,f,雪印
107,きゅうり,882円,10,ml,税込8% 952円,t,森永
108,大葉,146円,500,ml,税込10% 160円,f,雪印
110,白いりごま,748円,1,kg,税込10% 822円,f,雪印
111,卵,285円,1,kg,税込10% 313円,t,キッコーマン
114,サラダ油,661円,100,g,税込10% 727円,t,カルピス
116,塩,124円,250,pieces,税込10% 136円,f,キッコーマン
117,酢,520円,500,ml,税込10% 572円,f,ネスレ
119,牛乳,816円,200,g,税込10% 897円,t,ネスレ
121,砂糖,488円,10,pieces,税込10% 536円,f,ネスレ
123,溶かしバター(無塩),247円,200,kg,税込8% 266円,f,カルピス
124,サラダ油,865円,50,l,税込10% 951円,t,森永
125,クリームチーズ,555円,250,ml,税込10% 610円,t,ネスレ
127,生クリーム,536円,1,kg,税込8% 578円,t,森永
128,いちご,769円,500,g,税込10% 845円,f,明治
129,こしあん,486円,200,g,税込10% 534円,f,キッコーマン
130,マシュマロ,701円,1,kg,税込10% 771円,f,明治
131,オレオ,637円,50,pieces,税込10% 700円,t,キッコーマン
132,ミルクチョコレート,633円,50,pieces,税込10% 696円,f,キッコーマン
133,ホワイトチョコレート,294円,200,g,税込10% 323円,f,雪印
134,無塩バター,968円,250,l,税込8% 1045円,t,ネスレ
138,ベーキングパウダー,984円,100,l,税込10% 1082円,f,キッコーマン
139,ホワイトチョコレート,165円,50,l,税込8% 178円,t,カルピス
140,菜の花,783円,100,pieces,税込10% 861円,f,森永
141,ポン酢しょうゆ,954円,200,kg,税込10% 1049円,f,明治
142,からし,952円,50,pieces,税込10% 1047円,t,キッコーマン
143,米(吸水済み)合,695円,100,pieces,税込10% 764円,t,カルピス
144,筑前煮,930円,200,kg,税込10% 1023円,f,キッコーマン
145,水,941円,10,pieces,税込8% 1016円,t,明治
146,細ねぎ,219円,1,kg,税込10% 240円,t,雪印
148,みりん,873円,250,ml,税込10% 960円,t,明治
150,和風顆粒だし,900円,200,ml,税込10% 990円,t,ネスレ
